School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2007,15.6,15.9,16.3,15.9,15.9
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2008,15.5,15.7,16.7,15.1,15.8
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2009,15.2,15.6,16.3,14.1,15.3
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2010,15.4,16.0,16.0,15.1,15.6
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2011,15.4,17.1,17.2,14.9,16.1
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2012,15.0,16.7,17.3,14.7,15.9
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2013,16.2,17.7,16.7,14.6,16.3
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2014,15.3,16.0,15.8,13.8,15.2
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2015,14.4,15.8,15.1,13.6,14.7
ACE TECH HS,400010,Charter,Overall,Overall,11th Grade,2016,15.3,16.1,15.5,14.0,15.2
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2012,17.4,17.9,18.9,18.5,18.2
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2013,18.4,17.3,18.8,17.9,18.1
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2014,18.4,17.7,18.8,18.9,18.5
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2015,18.3,17.8,19.2,19.2,18.6
AIR FORCE HS,610513,Service Leadership Academies,Overall,Overall,11th Grade,2016,18.7,18.3,19.2,18.8,18.8
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2012,17.2,17.6,18.5,18.9,18.0
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2013,16.7,17.5,17.5,15.9,16.9
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2014,17.2,17.7,18.4,17.6,17.7
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2015,16.7,17.6,18.5,16.9,17.4
ALCOTT HS,610524,Network 4,Overall,Overall,11th Grade,2016,17.5,17.7,18.1,17.0,17.6
AMANDLA,400012,Charter,Overall,Overall,11th Grade,2015,16.8,16.7,16.5,15.3,16.3
AMANDLA,400012,Charter,Overall,Overall,11th Grade,2016,14.9,15.2,15.5,13.3,14.8
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2001,15.2,16.1,15.9,13.8,15.3
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2002,15.5,15.8,15.9,14.4,15.4
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2003,15.7,15.5,16.6,14.3,15.5
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2004,15.8,15.9,17.2,14.8,15.9
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2005,16.2,15.9,16.7,15.0,15.9
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2006,16.1,16.0,16.6,15.4,16.0
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2007,16.1,16.7,17.0,16.1,16.5
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2008,16.7,17.1,17.4,16.4,16.9
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2009,16.7,16.4,16.8,15.2,16.3
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2010,16.1,16.6,16.5,14.7,16.0
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2011,16.3,16.8,17.0,16.2,16.6
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2012,16.1,17.4,17.5,16.4,16.8
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2013,16.4,17.1,16.8,15.5,16.5
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2014,17.0,17.2,17.3,16.3,17.0
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2015,18.3,17.7,18.1,18.2,18.1
AMUNDSEN HS,609695,Network 2,Overall,Overall,11th Grade,2016,18.3,18.2,18.4,17.7,18.2
ASPIRA - EARLY COLLEGE HS,400013,Charter,Overall,Overall,11th Grade,2008,14.7,14.6,16.2,12.5,14.5
ASPIRA - EARLY COLLEGE HS,400013,Charter,Overall,Overall,11th Grade,2010,16.0,16.7,16.6,14.4,15.9
