,,Grd 9-12 Enrollment,Students Enrolled in AP Courses,,Students Scoring 3+ on AP Exams,
,,,,,,
SchoolID,Year,n,n,pct,n,pct
400018,2007,215,0,0.0,*,*
400018,2008,295,0,0.0,*,*
400018,2009,371,0,0.0,*,*
400018,2010,486,20,4.1,0,0.0
400018,2011,383,15,3.9,0,0.0
400018,2012,317,0,0.0,*,*
400018,2013,236,0,0.0,*,*
400022,2010,146,0,0.0,*,*
400022,2011,300,0,0.0,*,*
400022,2012,437,0,0.0,*,*
400022,2013,583,0,0.0,*,*
400038,2009,124,0,0.0,*,*
400038,2010,151,1,0.7,*,*
400038,2011,165,0,0.0,*,*
400038,2012,180,1,0.6,*,*
400038,2013,160,1,0.6,*,*
400070,2010,246,0,0.0,*,*
400070,2011,174,0,0.0,*,*
400070,2012,233,3,1.3,*,*
400070,2013,228,1,0.4,*,*
400091,2010,146,0,0.0,*,*
400091,2011,199,0,0.0,*,*
400091,2012,303,19,6.3,0,0.0
400091,2013,381,66,17.3,0,0.0
400093,2010,94,0,0.0,*,*
400094,2010,119,0,0.0,*,*
400102,2010,124,0,0.0,*,*
400147,2013,86,3,3.5,*,*
609674,2000,2283,23,1.0,0,0.0
609674,2001,2286,20,0.9,0,0.0
609674,2002,2204,24,1.1,0,0.0
609674,2003,2188,0,0.0,*,*
609674,2004,2026,0,0.0,*,*
609674,2005,2405,22,0.9,2,9.1
609674,2006,1982,92,4.6,0,0.0
609674,2007,1958,128,6.5,0,0.0
609674,2008,1865,113,6.1,0,0.0
609674,2009,1634,91,5.6,0,0.0
609674,2010,1436,46,3.2,0,0.0
609674,2011,1106,88,8.0,0,0.0
609674,2012,827,107,12.9,0,0.0
609674,2013,941,199,21.1,1,0.5
609675,2004,243,0,0.0,*,*
609675,2005,237,0,0.0,*,*
609675,2006,351,0,0.0,*,*
609675,2007,408,0,0.0,*,*
609675,2008,269,0,0.0,*,*
609675,2009,214,0,0.0,*,*
609675,2010,293,0,0.0,*,*
609675,2011,270,0,0.0,*,*
609675,2012,177,15,8.5,0,0.0
609675,2013,24,0,0.0,*,*
609676,2000,1852,13,0.7,0,0.0
609676,2001,1821,25,1.4,0,0.0
609676,2002,1732,52,3.0,0,0.0
609676,2003,1719,53,3.1,0,0.0
609676,2004,1678,51,3.0,0,0.0
609676,2005,1685,52,3.1,0,0.0
609676,2006,1638,95,5.8,1,1.1
609676,2007,1737,140,8.1,0,0.0
609676,2008,1574,113,7.2,0,0.0
609676,2009,1533,75,4.9,0,0.0
609676,2010,1611,88,5.5,1,1.1
609676,2011,1507,107,7.1,0,0.0
609676,2012,1462,121,8.3,1,0.8
609676,2013,1328,111,8.4,1,0.9
609678,2000,396,98,24.7,1,1.0
609678,2001,751,91,12.1,34,37.4
609678,2002,742,134,18.1,51,38.1
609678,2003,719,212,29.5,86,40.6
609678,2004,740,138,18.6,71,51.4
609678,2005,706,146,20.7,78,53.4
609678,2006,739,206,27.9,105,51.0
609678,2007,745,201,27.0,125,62.2
609678,2008,706,290,41.1,167,57.6
609678,2009,736,293,39.8,176,60.1
609678,2010,827,349,42.2,218,62.5
609678,2011,847,389,45.9,259,66.6
609678,2012,871,476,54.6,365,76.7
609678,2013,883,473,53.6,370,78.2
609679,2000,1318,24,1.8,0,0.0
609679,2001,1364,21,1.5,0,0.0
609679,2002,1357,117,8.6,9,7.7
609679,2003,1378,98,7.1,7,7.1
609679,2004,1354,109,8.1,3,2.8
609679,2005,1340,143,10.7,1,0.7
609679,2006,1379,157,11.4,2,1.3
609679,2007,1387,171,12.3,5,2.9
609679,2008,1413,223,15.8,8,3.6
609679,2009,1422,191,13.4,30,15.7
609679,2010,1417,273,19.3,39,14.3
609679,2011,1412,172,12.2,11,6.4
609679,2012,1416,186,13.1,18,9.7
609679,2013,1475,171,11.6,34,19.9
609680,2001,370,0,0.0,*,*
609680,2002,533,42,7.9,26,61.9
609680,2003,662,121,18.3,60,49.6
609680,2004,822,233,28.3,153,65.7
609680,2005,820,216,26.3,174,80.6
609680,2006,836,263,31.5,209,79.5
609680,2007,836,347,41.5,277,79.8
609680,2008,890,380,42.7,321,84.5
609680,2009,875,376,43.0,327,87.0
609680,2010,908,408,44.9,374,91.7
609680,2011,892,507,56.8,444,87.6
609680,2012,885,424,47.9,369,87.0
609680,2013,859,458,53.3,411,89.7
609682,2000,557,0,0.0,*,*
609682,2001,500,0,0.0,*,*
609682,2002,526,0,0.0,*,*
609682,2003,537,0,0.0,*,*
609682,2004,500,0,0.0,*,*
609682,2005,480,0,0.0,*,*
609682,2006,476,14,2.9,0,0.0
609682,2007,566,40,7.1,0,0.0
609682,2008,593,40,6.7,1,2.5
609682,2009,569,40,7.0,0,0.0
609682,2010,600,42,7.0,1,2.4
609682,2011,547,38,6.9,6,15.8
609682,2012,473,50,10.6,16,32.0
609682,2013,477,51,10.7,7,13.7
609691,2005,271,0,0.0,*,*
609691,2006,509,0,0.0,*,*
609691,2007,700,132,18.9,17,12.9
609691,2008,904,175,19.4,13,7.4
609691,2009,924,159,17.2,21,13.2
609691,2010,899,190,21.1,39,20.5
609691,2011,875,199,22.7,28,14.1
609691,2012,883,196,22.2,36,18.4
609691,2013,904,152,16.8,28,18.4
609692,2000,1374,0,0.0,*,*
609692,2001,1402,0,0.0,*,*
609692,2002,1560,19,1.2,0,0.0
609692,2003,1561,54,3.5,0,0.0
609692,2004,1595,63,3.9,0,0.0
609692,2005,1585,91,5.7,1,1.1
609692,2006,1652,108,6.5,1,0.9
609692,2007,1621,135,8.3,0,0.0
609692,2008,1560,209,13.4,3,1.4
609692,2009,1580,332,21.0,0,0.0
609692,2010,1554,245,15.8,1,0.4
609692,2011,1546,216,14.0,1,0.5
609692,2012,1532,133,8.7,1,0.8
609692,2013,1529,115,7.5,1,0.9
609693,2000,1402,0,0.0,*,*
609693,2001,1428,0,0.0,*,*
609693,2002,1412,19,1.3,0,0.0
609693,2003,1415,0,0.0,*,*
609693,2004,1098,0,0.0,*,*
609693,2005,837,0,0.0,*,*
609693,2006,474,0,0.0,*,*
609693,2007,173,0,0.0,*,*
609693,2010,279,98,35.1,25,25.5
609693,2011,555,141,25.4,44,31.2
609693,2012,828,211,25.5,76,36.0
609693,2013,1116,312,28.0,162,51.9
609694,2000,298,0,0.0,*,*
609694,2001,404,7,1.7,*,*
609694,2002,474,0,0.0,*,*
609694,2003,604,0,0.0,*,*
609694,2004,823,8,1.0,*,*
609694,2005,795,6,0.8,*,*
609694,2006,815,74,9.1,4,5.4
609694,2007,908,102,11.2,22,21.6
609694,2008,912,78,8.6,18,23.1
609694,2009,934,117,12.5,27,23.1
609694,2010,996,124,12.4,31,25.0
609694,2011,984,113,11.5,36,31.9
609694,2012,966,125,12.9,36,28.8
609694,2013,963,231,24.0,52,22.5
609695,2000,1707,205,12.0,37,18.0
609695,2001,1586,158,10.0,31,19.6
609695,2002,1549,184,11.9,34,18.5
609695,2003,1526,161,10.6,28,17.4
609695,2004,1542,156,10.1,20,12.8
609695,2005,1589,188,11.8,29,15.4
609695,2006,1570,168,10.7,24,14.3
609695,2007,1516,202,13.3,17,8.4
609695,2008,1611,309,19.2,36,11.7
609695,2009,1539,346,22.5,28,8.1
609695,2010,1630,341,20.9,29,8.5
609695,2011,1645,324,19.7,29,9.0
609695,2012,1535,241,15.7,15,6.2
609695,2013,1434,255,17.8,19,7.5
609698,2000,1773,75,4.2,3,4.0
609698,2001,1887,78,4.1,5,6.4
609698,2002,2053,86,4.2,3,3.5
609698,2003,1945,125,6.4,2,1.6
609698,2004,2057,120,5.8,14,11.7
609698,2005,2092,88,4.2,2,2.3
609698,2006,2115,54,2.6,0,0.0
609698,2007,2088,114,5.5,4,3.5
609698,2008,1997,219,11.0,1,0.5
609698,2009,1951,237,12.1,11,4.6
609698,2010,1936,178,9.2,23,12.9
609698,2011,1786,216,12.1,20,9.3
609698,2012,1658,240,14.5,30,12.5
609698,2013,1409,204,14.5,27,13.2
609702,2000,1118,51,4.6,0,0.0
609702,2001,1230,34,2.8,0,0.0
609702,2002,1200,53,4.4,0,0.0
609702,2003,1224,59,4.8,0,0.0
609702,2004,1114,32,2.9,0,0.0
609702,2005,1081,39,3.6,1,2.6
609702,2006,1007,59,5.9,0,0.0
609702,2007,1023,54,5.3,1,1.9
609702,2008,960,56,5.8,0,0.0
609702,2009,665,47,7.1,0,0.0
609702,2010,717,60,8.4,0,0.0
609702,2011,513,37,7.2,0,0.0
609702,2012,476,19,4.0,0,0.0
609702,2013,333,0,0.0,*,*
609704,2000,2151,29,1.3,0,0.0
609704,2001,2146,33,1.5,0,0.0
609704,2002,2309,32,1.4,0,0.0
609704,2003,2560,40,1.6,0,0.0
609704,2004,2539,61,2.4,0,0.0
609704,2005,2767,82,3.0,1,1.2
609704,2006,2646,29,1.1,0,0.0
609704,2007,2461,87,3.5,7,8.0
609704,2008,2076,83,4.0,5,6.0
609704,2009,1830,94,5.1,8,8.5
609704,2010,1729,82,4.7,1,1.2
609704,2011,1556,83,5.3,25,30.1
609704,2012,1413,122,8.6,32,26.2
609704,2013,1237,140,11.3,38,27.1
609705,2000,807,0,0.0,*,*
609705,2001,838,0,0.0,*,*
609705,2002,1091,36,3.3,0,0.0
609705,2003,1125,36,3.2,1,2.8
609705,2004,1209,13,1.1,1,7.7
609705,2005,1204,36,3.0,2,5.6
609705,2006,1139,89,7.8,0,0.0
609705,2007,1115,168,15.1,0,0.0
609705,2008,1189,206,17.3,1,0.5
609705,2009,1174,257,21.9,0,0.0
609705,2010,1187,55,4.6,0,0.0
609705,2011,784,56,7.1,0,0.0
609705,2012,688,52,7.6,0,0.0
609705,2013,483,29,6.0,0,0.0
609706,2006,75,0,0.0,*,*
609706,2007,239,0,0.0,*,*
609706,2008,172,0,0.0,*,*
609706,2009,99,0,0.0,*,*
609706,2010,126,0,0.0,*,*
609706,2011,105,0,0.0,*,*
609706,2012,85,0,0.0,*,*
609706,2013,25,0,0.0,*,*
609707,2000,910,0,0.0,*,*
609707,2001,999,66,6.6,0,0.0
609707,2002,1006,34,3.4,0,0.0
609707,2003,1027,25,2.4,0,0.0
609707,2004,1145,36,3.1,0,0.0
609707,2005,1247,32,2.6,0,0.0
609707,2006,1268,43,3.4,0,0.0
609707,2007,1302,41,3.1,0,0.0
609707,2008,1247,59,4.7,0,0.0
609707,2009,1353,33,2.4,0,0.0
609707,2010,1259,34,2.7,0,0.0
609707,2011,776,67,8.6,0,0.0
609707,2012,734,69,9.4,0,0.0
609707,2013,546,65,11.9,0,0.0
609708,2000,1534,39,2.5,6,15.4
609708,2001,1610,35,2.2,1,2.9
609708,2002,1711,58,3.4,2,3.4
