School 5 Year Cohort Rates,,Cohort Graduation Rates,,,,,,
SchoolID,School Name,2011,2012,2013,2014,2015,2016,2017
400010,ACE TECH HS,69.4%,78.8%,66.4%,70.3%,69.6%,68.8%,67.7%
610513,AIR FORCE HS, , , ,70.2%,84.0%,86.1%,86.7%
610524,ALCOTT HS, , , ,86.3%,77.7%,87.1%,81.3%
609695,AMUNDSEN HS,63.8%,64.7%,77.1%,74.7%,75.8%,82.8%,76.0%
400013,ASPIRA - EARLY COLLEGE HS, ,68.3%,66.1%,70.7%,67.1%,67.9%,79.2%
610518,AUSTIN CCA HS, , ,67.8%,55.4%,70.9%,70.9%,77.3%
609698,BOGAN HS,52.0%,53.6%,60.3%,66.8%,74.3%,75.7%,71.4%
610323,BOWEN HS,66.1%,55.2%,67.2%,34.6%,63.3%,63.7%,61.9%
610381,BRONZEVILLE HS,84.6%,71.8%,87.6%,79.1%,85.4%,80.6%,75.9%
609726,BROOKS HS,88.1%,88.2%,85.3%,87.0%,92.2%,93.4%,90.4%
609760,CARVER MILITARY HS,74.6%,79.1%,79.2%,90.2%,89.3%,91.0%,89.9%
400115,CATALYST - MARIA, , , , , , ,82.4%
610340,CHICAGO ACADEMY HS,70.1%,69.9%,72.3%,75.4%,81.7%,85.4%,87.1%
609753,CHICAGO AGRICULTURE HS,70.3%,70.7%,72.5%,75.7%,74.4%,74.7%,83.9%
400022,CHICAGO ARTS HS, , , ,88.8%,80.4%,81.1%,84.6%
400035,CHICAGO MATH & SCIENCE HS,69.8%,78.1%,69.8%,68.8%,86.4%,85.2%,85.9%
609754,CHICAGO MILITARY HS,81.8%,67.1%,78.7%,80.3%,77.1%,85.4%,89.6%
400091,CHICAGO TECH HS, , , ,63.8%,55.1%,69.5%,77.0%
400036,CHICAGO VIRTUAL, ,41.7%,20.0%,38.7%,38.7%,50.0%,60.0%
609674,CHICAGO VOCATIONAL HS,49.1%,53.8%,53.9%,67.7%,64.2%,72.6%,76.8%
400032,CICS - ELLISON HS,74.3%,77.3%,65.8%,74.2%,77.0%,78.6%,77.8%
400033,CICS - LONGWOOD,79.2%,63.2%,73.7%,80.5%,74.6%,82.6%,73.3%
400034,CICS - NORTHTOWN HS,81.9%,82.6%,81.6%,87.7%,84.4%,83.3%,84.4%
610244,CLARK HS,86.4%,75.1%,79.1%,79.1%,79.5%,85.8%,82.1%
