GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC
Albany Park,52079,13550,13719,11806,8412,3257,1335,33.77074977,15349,25003,2215,8223,1289,50477,3993,3997,3056,1912,1936,1579,51968.84984
Archer Heights,13266,4205,2948,2830,1924,947,411,31.9913242,2572,10109,114,388,82,13256,890,1238,854,317,425,114,43393.53612
Armour Square,14068,3029,3004,2500,2806,1815,915,41.95464481,1545,438,1348,10324,413,14058,2660,1147,646,263,383,121,24336.46113
Ashburn,42752,12506,8188,8951,8557,3401,1149,36.16439024,5555,15455,20817,284,641,42132,2138,2888,2484,2083,2307,923,63573.16227
Auburn Gresham,45842,12050,8948,7776,9624,5420,2024,39.13457657,231,689,44402,117,403,45727,7455,4475,2839,1103,972,306,29388.71473
Austin,97643,28457,20624,18286,18392,9571,2313,34.70022781,4353,11132,81066,467,625,96495,12989,8564,4773,2559,2273,879,31634.30042
Avalon Park,9780,2031,1816,1636,2319,1516,462,45.02466443,52,62,9521,59,86,9775,1407,841,533,351,490,154,41351.35135
Avondale,39721,10176,12222,8105,5728,2696,794,31.98401735,12327,24563,842,1277,712,39642,3414,4239,2572,1374,1194,771,44663.32378
Belmont Cragin,79159,25314,18056,17714,11867,4780,1428,31.97512203,11276,63355,2483,1183,862,78851,5597,6563,4484,2111,2261,709,43533.84842
Beverly,20815,5466,2890,4360,5285,2180,634,42.67223848,11604,1414,7257,101,439,20789,689,1226,1131,1110,1418,1918,90765.76577
Bridgeport,33878,7632,8630,6797,7283,2528,1007,36.36659811,10818,9546,951,11702,861,33840,3729,3202,2089,1382,1302,816,43056.49241
Brighton Park,44202,15143,9824,10091,6179,2139,826,30.74514793,2844,37620,677,2955,106,44106,3540,4726,1965,937,632,230,36077.44108
Burnside,2601,751,479,333,568,364,106,37.39895833,0,0,2601,0,0,2601,458,221,56,54,74,24,23632.07547
Calumet Heights,13732,2760,1823,2822,3008,2279,1040,46.72941176,308,443,12835,5,141,13725,1337,1352,912,790,711,267,49922.94521
Chatham,31392,7526,5674,5959,7323,3281,1629,41.0222331,389,287,30329,109,278,31345,5574,3490,2134,1186,850,325,32221.74658
Chicago Lawn,55551,18975,12949,11042,8239,3484,862,30.39176092,1873,26377,26100,529,672,55255,6074,4888,2322,1272,864,285,33121.70475
Clearing,24962,6574,5448,5574,4068,2287,1011,36.1279338,11871,12361,140,319,271,24952,1708,1766,1897,1437,1277,445,60623.91681
Douglas,20323,4185,6391,3617,3369,1969,792,33.49248094,2165,485,14365,2913,395,17720,4407,1809,1480,750,445,385,29184.78261
Dunning,43025,9829,8925,8357,9413,4563,1938,40.61131985,28340,11448,1035,1775,427,42858,2972,3669,2750,2427,2479,1135,59737.31884
East Garfield Park,20656,6965,4909,3520,3426,1371,465,29.79446653,878,727,18854,57,140,19817,3753,1403,741,575,289,162,21481.92771
East Side,23784,8281,4822,4721,3854,1389,717,31.1043798,4040,18968,684,28,64,23774,1704,2124,1157,903,661,252,43421.05263
Edgewater,54873,7999,16748,12209,10783,5179,1955,37.93443554,29912,8918,7853,6324,1866,51818,8078,6861,5059,3352,2803,2522,46173.66412
Edison Park,11208,2456,2187,2658,2197,1120,588,41.38609272,9787,1060,120,164,78,11203,362,874,654,729,738,1083,86299.72565
Englewood,26121,8266,6184,3902,4593,2234,942,31.39224626,199,682,24810,76,354,25992,5320,2267,850,362,231,73,19853.7844
Forest Glen,18459,5030,2290,3842,4054,2164,1079,42.56931818,13258,2205,177,2475,344,18425,734,971,884,695,1426,1957,101558.6035
Fuller Park,2543,568,473,411,535,457,99,43.6575,70,181,2273,16,3,2534,623,219,84,75,71,15,20092.59259
Gage Park,41202,14775,9635,9283,4848,2192,469,28.90824588,1460,38009,1342,350,41,41148,2865,3416,1844,933,554,130,38582.31707
Garfield Ridge,35570,9027,6779,7628,6879,3605,1652,38.62508411,16837,16581,1462,417,273,35325,2143,2858,2137,1545,2131,1202,60851.41903
